582ns  |  0x0000006c  |  00e787b3           add a5,a5,a4
583ns  |  0x00000070  |  fef42623           sw a5,-20(s0)
584ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
585ns  |  0x00000078  |  00178793           add a5,a5,1
607ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
608ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
609ns  |  0x00000084  |  01300793           li a5,19
610ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
611ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
612ns  |  0x00000020  |  0017f793           and a5,a5,1
613ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
614ns  |  0x00000028  |  fec42703           lw a4,-20(s0)
615ns  |  0x0000002c  |  fe842783           lw a5,-24(s0)
616ns  |  0x00000030  |  02f707b3           mul a5,a4,a5
617ns  |  0x00000034  |  00078513           mv a0,a5
618ns  |  0x00000038  |  06c000ef           jal a4 <jump_function1>
619ns  |  0x000000a4  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 1 ] ##
620ns  |  0x000000a8  |  00812e23           sw s0,28(sp)
621ns  |  0x000000ac  |  02010413           add s0,sp,32
635ns  |  0x000000b0  |  fea42623           sw a0,-20(s0)
636ns  |  0x000000b4  |  fec42783           lw a5,-20(s0)
637ns  |  0x000000b8  |  0017f793           and a5,a5,1
638ns  |  0x000000bc  |  00079663           bnez a5,c8 <jump_function1+0x24>
639ns  |  0x000000c0  |  01400793           li a5,20
640ns  |  0x000000c4  |  0080006f           j cc <jump_function1+0x28>
641ns  |  0x000000cc  |  00078513           mv a0,a5
642ns  |  0x000000d0  |  01c12403           lw s0,28(sp)
643ns  |  0x000000d4  |  02010113           add sp,sp,32
644ns  |  0x000000d8  |  00008067           ret
645ns  |  0x0000003c  |  00050713           mv a4,a0
646ns  |  0x00000040  |  fec42783           lw a5,-20(s0)
647ns  |  0x00000044  |  00e787b3           add a5,a5,a4
648ns  |  0x00000048  |  fef42623           sw a5,-20(s0)
649ns  |  0x0000004c  |  0280006f           j 74 <main+0x74>
650ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
651ns  |  0x00000078  |  00178793           add a5,a5,1
681ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
682ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
683ns  |  0x00000084  |  01300793           li a5,19
684ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
685ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
686ns  |  0x00000020  |  0017f793           and a5,a5,1
687ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
688ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
689ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
690ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
691ns  |  0x0000005c  |  00078513           mv a0,a5
692ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
693ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
694ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
695ns  |  0x000000e4  |  02010413           add s0,sp,32
708ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
709ns  |  0x000000ec  |  fec42783           lw a5,-20(s0)
710ns  |  0x000000f0  |  0017f793           and a5,a5,1
711ns  |  0x000000f4  |  00079663           bnez a5,100 <jump_function2+0x24>
712ns  |  0x000000f8  |  02800793           li a5,40
713ns  |  0x000000fc  |  0080006f           j 104 <jump_function2+0x28>
714ns  |  0x00000104  |  00078513           mv a0,a5
715ns  |  0x00000108  |  01c12403           lw s0,28(sp)
716ns  |  0x0000010c  |  02010113           add sp,sp,32
717ns  |  0x00000110  |  00008067           ret
718ns  |  0x00000064  |  00050713           mv a4,a0
719ns  |  0x00000068  |  fec42783           lw a5,-20(s0)
720ns  |  0x0000006c  |  00e787b3           add a5,a5,a4
721ns  |  0x00000070  |  fef42623           sw a5,-20(s0)
722ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
723ns  |  0x00000078  |  00178793           add a5,a5,1
745ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
746ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
747ns  |  0x00000084  |  01300793           li a5,19
748ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
749ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
750ns  |  0x00000020  |  0017f793           and a5,a5,1
751ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
752ns  |  0x00000028  |  fec42703           lw a4,-20(s0)
753ns  |  0x0000002c  |  fe842783           lw a5,-24(s0)
754ns  |  0x00000030  |  02f707b3           mul a5,a4,a5
755ns  |  0x00000034  |  00078513           mv a0,a5
756ns  |  0x00000038  |  06c000ef           jal a4 <jump_function1>
757ns  |  0x000000a4  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 1 ] ##
758ns  |  0x000000a8  |  00812e23           sw s0,28(sp)
759ns  |  0x000000ac  |  02010413           add s0,sp,32
773ns  |  0x000000b0  |  fea42623           sw a0,-20(s0)
774ns  |  0x000000b4  |  fec42783           lw a5,-20(s0)
775ns  |  0x000000b8  |  0017f793           and a5,a5,1
776ns  |  0x000000bc  |  00079663           bnez a5,c8 <jump_function1+0x24>
777ns  |  0x000000c0  |  01400793           li a5,20
778ns  |  0x000000c4  |  0080006f           j cc <jump_function1+0x28>
779ns  |  0x000000cc  |  00078513           mv a0,a5
780ns  |  0x000000d0  |  01c12403           lw s0,28(sp)
781ns  |  0x000000d4  |  02010113           add sp,sp,32
782ns  |  0x000000d8  |  00008067           ret
783ns  |  0x0000003c  |  00050713           mv a4,a0
784ns  |  0x00000040  |  fec42783           lw a5,-20(s0)
785ns  |  0x00000044  |  00e787b3           add a5,a5,a4
786ns  |  0x00000048  |  fef42623           sw a5,-20(s0)
787ns  |  0x0000004c  |  0280006f           j 74 <main+0x74>
788ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
789ns  |  0x00000078  |  00178793           add a5,a5,1
819ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
820ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
821ns  |  0x00000084  |  01300793           li a5,19
822ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
823ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
824ns  |  0x00000020  |  0017f793           and a5,a5,1
825ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
826ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
827ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
828ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
829ns  |  0x0000005c  |  00078513           mv a0,a5
830ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
831ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
832ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
833ns  |  0x000000e4  |  02010413           add s0,sp,32
846ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
847ns  |  0x000000ec  |  fec42783           lw a5,-20(s0)
848ns  |  0x000000f0  |  0017f793           and a5,a5,1
849ns  |  0x000000f4  |  00079663           bnez a5,100 <jump_function2+0x24>
850ns  |  0x000000f8  |  02800793           li a5,40
851ns  |  0x000000fc  |  0080006f           j 104 <jump_function2+0x28>
852ns  |  0x00000104  |  00078513           mv a0,a5
853ns  |  0x00000108  |  01c12403           lw s0,28(sp)
854ns  |  0x0000010c  |  02010113           add sp,sp,32
855ns  |  0x00000110  |  00008067           ret
856ns  |  0x00000064  |  00050713           mv a4,a0
857ns  |  0x00000068  |  fec42783           lw a5,-20(s0)
858ns  |  0x0000006c  |  00e787b3           add a5,a5,a4
859ns  |  0x00000070  |  fef42623           sw a5,-20(s0)
860ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
861ns  |  0x00000078  |  00178793           add a5,a5,1
883ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
884ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
885ns  |  0x00000084  |  01300793           li a5,19
886ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
887ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
888ns  |  0x00000020  |  0017f793           and a5,a5,1
889ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
890ns  |  0x00000028  |  fec42703           lw a4,-20(s0)
891ns  |  0x0000002c  |  fe842783           lw a5,-24(s0)
