[9ns] [0x0] [0x00001137] | lui sp,0x1 | x2 = 4096 , 0x1000
[280ns] [0x14C] [0xFEB42623] | sw a1,-20(s0) | x0 = 0 , 0x0

[282ns] [0x150] [0xFE442583] | lw a1,-28(s0) | x11 = 2 , 0x2

[285ns] [0x154] [0x00158593] | add a1,a1,1 | x11 = 3 , 0x3

[286ns] [0x158] [0xFEB42223] | sw a1,-28(s0) | x0 = 0 , 0x0

[289ns] [0x15C] [0xFE442503] | lw a0,-28(s0) | x10 = 3 , 0x3

[290ns] [0x160] [0x00500593] | li a1,5 | x11 = 5 , 0x5

[291ns] [0x164] [0xF6A5D2E3] | bge a1,a0,c8 <function+0x28> | x0 = 1 , 0x1

[294ns] [0xC8] [0x40000513] | li a0,1024 | x10 = 1024 , 0x400

[298ns] [0xCC] [0xFE442583] | lw a1,-28(s0) | x11 = 3 , 0x3

[299ns] [0xD0] [0x00B505B3] | add a1,a0,a1 | x11 = 1027 , 0x403

[300ns] [0xD4] [0x0005C583] | lbu a1,0(a1) | x11 = 204 , 0xcc

[304ns] [0xD8] [0x00058713] | mv a4,a1 | x14 = 204 , 0xcc

[305ns] [0xDC] [0x00000793] | li a5,0 | x15 = 0 , 0x0

[307ns] [0xE0] [0xFEC42583] | lw a1,-20(s0) | x11 = 4294956745 , 0xffffd6c9

[312ns] [0xE4] [0x02E58533] | mul a0,a1,a4 | x10 = 4292814892 , 0xffdf282c

[313ns] [0xE8] [0xFE842583] | lw a1,-24(s0) | x11 = 3488683146 , 0xcff1148a

[314ns] [0xEC] [0x02F585B3] | mul a1,a1,a5 | x11 = 0 , 0x0

[315ns] [0xF0] [0x00B50533] | add a0,a0,a1 | x10 = 4292814892 , 0xffdf282c

[318ns] [0xF4] [0xFE842583] | lw a1,-24(s0) | x11 = 3488683146 , 0xcff1148a

[323ns] [0xF8] [0x02E58833] | mul a6,a1,a4 | x16 = 3021757944 , 0xb41c5df8

[324ns] [0xFC] [0x02E5B6B3] | mulhu a3,a1,a4 | x13 = 165 , 0xa5

[325ns] [0x100] [0x00080613] | mv a2,a6 | x12 = 3021757944 , 0xb41c5df8

[326ns] [0x104] [0x00D505B3] | add a1,a0,a3 | x11 = 4292815057 , 0xffdf28d1

[327ns] [0x108] [0x00058693] | mv a3,a1 | x13 = 4292815057 , 0xffdf28d1

[328ns] [0x10C] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[329ns] [0x110] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[330ns] [0x114] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[332ns] [0x118] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[335ns] [0x11C] [0xFDC42583] | lw a1,-36(s0) | x11 = 857870592 , 0x33221100

[338ns] [0x120] [0x00058313] | mv t1,a1 | x6 = 857870592 , 0x33221100

[339ns] [0x124] [0x00000393] | li t2,0 | x7 = 0 , 0x0

[341ns] [0x128] [0xFE842803] | lw a6,-24(s0) | x16 = 3021757944 , 0xb41c5df8

[342ns] [0x12C] [0xFEC42883] | lw a7,-20(s0) | x17 = 4292815057 , 0xffdf28d1

[344ns] [0x130] [0x40680533] | sub a0,a6,t1 | x10 = 2163887352 , 0x80fa4cf8

[345ns] [0x134] [0x00050E13] | mv t3,a0 | x28 = 2163887352 , 0x80fa4cf8

[346ns] [0x138] [0x01C83E33] | sltu t3,a6,t3 | x28 = 0 , 0x0

[347ns] [0x13C] [0x407885B3] | sub a1,a7,t2 | x11 = 4292815057 , 0xffdf28d1

[348ns] [0x140] [0x41C58833] | sub a6,a1,t3 | x16 = 4292815057 , 0xffdf28d1

[349ns] [0x144] [0x00080593] | mv a1,a6 | x11 = 4292815057 , 0xffdf28d1

[350ns] [0x148] [0xFEA42423] | sw a0,-24(s0) | x0 = 0 , 0x0

[351ns] [0x14C] [0xFEB42623] | sw a1,-20(s0) | x0 = 0 , 0x0

[353ns] [0x150] [0xFE442583] | lw a1,-28(s0) | x11 = 3 , 0x3

[356ns] [0x154] [0x00158593] | add a1,a1,1 | x11 = 4 , 0x4

[357ns] [0x158] [0xFEB42223] | sw a1,-28(s0) | x0 = 0 , 0x0

[360ns] [0x15C] [0xFE442503] | lw a0,-28(s0) | x10 = 4 , 0x4

[361ns] [0x160] [0x00500593] | li a1,5 | x11 = 5 , 0x5

[362ns] [0x164] [0xF6A5D2E3] | bge a1,a0,c8 <function+0x28> | x0 = 1 , 0x1

[365ns] [0xC8] [0x40000513] | li a0,1024 | x10 = 1024 , 0x400

