============== PROGRAM TRACE ==============
5020ns , 0xb8 , x05 , 0x000000c4
5030ns , 0xbc , x00 , 0x000000c8
5060ns , 0xc0 , x10 , 0x00000000
5070ns , 0xc4 , x03 , 0x00000002
5170ns , 0x0 , x00 , 0x00000004
5240ns , 0x4 , x01 , 0x00000000
5250ns , 0x8 , x02 , 0x00000000
5260ns , 0xc , x03 , 0x00000000
5270ns , 0x10 , x04 , 0x00000000
5280ns , 0x14 , x05 , 0x00000000
5290ns , 0x18 , x06 , 0x00000000
5300ns , 0x1c , x07 , 0x00000000
5310ns , 0x20 , x08 , 0x00000000
5320ns , 0x24 , x09 , 0x00000000
5330ns , 0x28 , x10 , 0x00000000
5340ns , 0x2c , x11 , 0x00000000
5350ns , 0x30 , x12 , 0x00000000
5360ns , 0x34 , x13 , 0x00000000
5370ns , 0x38 , x14 , 0x00000000
5380ns , 0x3c , x15 , 0x00000000
5390ns , 0x40 , x16 , 0x00000000
5400ns , 0x44 , x17 , 0x00000000
5410ns , 0x48 , x18 , 0x00000000
5420ns , 0x4c , x19 , 0x00000000
5430ns , 0x50 , x20 , 0x00000000
5440ns , 0x54 , x21 , 0x00000000
5450ns , 0x58 , x22 , 0x00000000
5460ns , 0x5c , x23 , 0x00000000
5470ns , 0x60 , x24 , 0x00000000
5480ns , 0x64 , x25 , 0x00000000
5490ns , 0x68 , x26 , 0x00000000
5500ns , 0x6c , x27 , 0x00000000
5510ns , 0x70 , x28 , 0x00000000
5520ns , 0x74 , x29 , 0x00000000
5530ns , 0x78 , x30 , 0x00000000
5540ns , 0x7c , x31 , 0x00000000
5550ns , 0x80 , x03 , 0x00000000
5560ns , 0x84 , x10 , 0x00000001
5570ns , 0x88 , x10 , 0x80000000
5580ns , 0x8c , x00 , 0x00000001
5590ns , 0xb0 , x00 , 0x00000800
5620ns , 0xb4 , x05 , 0x000000b4
5630ns , 0xb8 , x05 , 0x000000c4
5640ns , 0xbc , x00 , 0x000000c8
5670ns , 0xc0 , x10 , 0x00000000
5680ns , 0xc4 , x03 , 0x00000002
5780ns , 0x0 , x00 , 0x00000004
5850ns , 0x4 , x01 , 0x00000000
5860ns , 0x8 , x02 , 0x00000000
5870ns , 0xc , x03 , 0x00000000
5880ns , 0x10 , x04 , 0x00000000
5890ns , 0x14 , x05 , 0x00000000
5900ns , 0x18 , x06 , 0x00000000
5910ns , 0x1c , x07 , 0x00000000
5920ns , 0x20 , x08 , 0x00000000
5930ns , 0x24 , x09 , 0x00000000
5940ns , 0x28 , x10 , 0x00000000
5950ns , 0x2c , x11 , 0x00000000
5960ns , 0x30 , x12 , 0x00000000
5970ns , 0x34 , x13 , 0x00000000
5980ns , 0x38 , x14 , 0x00000000
5990ns , 0x3c , x15 , 0x00000000
6000ns , 0x40 , x16 , 0x00000000
6010ns , 0x44 , x17 , 0x00000000
6020ns , 0x48 , x18 , 0x00000000
6030ns , 0x4c , x19 , 0x00000000
6040ns , 0x50 , x20 , 0x00000000
6050ns , 0x54 , x21 , 0x00000000
6060ns , 0x58 , x22 , 0x00000000
6070ns , 0x5c , x23 , 0x00000000
6080ns , 0x60 , x24 , 0x00000000
6090ns , 0x64 , x25 , 0x00000000
6100ns , 0x68 , x26 , 0x00000000
6110ns , 0x6c , x27 , 0x00000000
6120ns , 0x70 , x28 , 0x00000000
6130ns , 0x74 , x29 , 0x00000000
6140ns , 0x78 , x30 , 0x00000000
6150ns , 0x7c , x31 , 0x00000000
6160ns , 0x80 , x03 , 0x00000000
6170ns , 0x84 , x10 , 0x00000001
6180ns , 0x88 , x10 , 0x80000000
6190ns , 0x8c , x00 , 0x00000001
6200ns , 0xb0 , x00 , 0x00000800
6230ns , 0xb4 , x05 , 0x000000b4
6240ns , 0xb8 , x05 , 0x000000c4
6250ns , 0xbc , x00 , 0x000000c8
6280ns , 0xc0 , x10 , 0x00000000
6290ns , 0xc4 , x03 , 0x00000002
6390ns , 0x0 , x00 , 0x00000004
6460ns , 0x4 , x01 , 0x00000000
6470ns , 0x8 , x02 , 0x00000000
6480ns , 0xc , x03 , 0x00000000
6490ns , 0x10 , x04 , 0x00000000
6500ns , 0x14 , x05 , 0x00000000
6510ns , 0x18 , x06 , 0x00000000
6520ns , 0x1c , x07 , 0x00000000
6530ns , 0x20 , x08 , 0x00000000
6540ns , 0x24 , x09 , 0x00000000
6550ns , 0x28 , x10 , 0x00000000
6560ns , 0x2c , x11 , 0x00000000
6570ns , 0x30 , x12 , 0x00000000
6580ns , 0x34 , x13 , 0x00000000
6590ns , 0x38 , x14 , 0x00000000
6600ns , 0x3c , x15 , 0x00000000
6610ns , 0x40 , x16 , 0x00000000
6620ns , 0x44 , x17 , 0x00000000
6630ns , 0x48 , x18 , 0x00000000
6640ns , 0x4c , x19 , 0x00000000
6650ns , 0x50 , x20 , 0x00000000
6660ns , 0x54 , x21 , 0x00000000
6670ns , 0x58 , x22 , 0x00000000
6680ns , 0x5c , x23 , 0x00000000
6690ns , 0x60 , x24 , 0x00000000
6700ns , 0x64 , x25 , 0x00000000
6710ns , 0x68 , x26 , 0x00000000
6720ns , 0x6c , x27 , 0x00000000
6730ns , 0x70 , x28 , 0x00000000
6740ns , 0x74 , x29 , 0x00000000
6750ns , 0x78 , x30 , 0x00000000
6760ns , 0x7c , x31 , 0x00000000
6770ns , 0x80 , x03 , 0x00000000
6780ns , 0x84 , x10 , 0x00000001
6790ns , 0x88 , x10 , 0x80000000
6800ns , 0x8c , x00 , 0x00000001
6810ns , 0xb0 , x00 , 0x00000800
6840ns , 0xb4 , x05 , 0x000000b4
6850ns , 0xb8 , x05 , 0x000000c4
6860ns , 0xbc , x00 , 0x000000c8
6890ns , 0xc0 , x10 , 0x00000000
6900ns , 0xc4 , x03 , 0x00000002
7000ns , 0x0 , x00 , 0x00000004
7070ns , 0x4 , x01 , 0x00000000
7080ns , 0x8 , x02 , 0x00000000
7090ns , 0xc , x03 , 0x00000000
7100ns , 0x10 , x04 , 0x00000000
7110ns , 0x14 , x05 , 0x00000000
7120ns , 0x18 , x06 , 0x00000000
7130ns , 0x1c , x07 , 0x00000000
7140ns , 0x20 , x08 , 0x00000000
7150ns , 0x24 , x09 , 0x00000000
7160ns , 0x28 , x10 , 0x00000000
7170ns , 0x2c , x11 , 0x00000000
7180ns , 0x30 , x12 , 0x00000000
7190ns , 0x34 , x13 , 0x00000000
7200ns , 0x38 , x14 , 0x00000000
7210ns , 0x3c , x15 , 0x00000000
7220ns , 0x40 , x16 , 0x00000000
7230ns , 0x44 , x17 , 0x00000000
7240ns , 0x48 , x18 , 0x00000000
7250ns , 0x4c , x19 , 0x00000000
7260ns , 0x50 , x20 , 0x00000000
7270ns , 0x54 , x21 , 0x00000000
7280ns , 0x58 , x22 , 0x00000000
7290ns , 0x5c , x23 , 0x00000000
7300ns , 0x60 , x24 , 0x00000000
7310ns , 0x64 , x25 , 0x00000000
7320ns , 0x68 , x26 , 0x00000000
7330ns , 0x6c , x27 , 0x00000000
7340ns , 0x70 , x28 , 0x00000000
7350ns , 0x74 , x29 , 0x00000000
7360ns , 0x78 , x30 , 0x00000000
7370ns , 0x7c , x31 , 0x00000000
7380ns , 0x80 , x03 , 0x00000000
7390ns , 0x84 , x10 , 0x00000001
7400ns , 0x88 , x10 , 0x80000000
7410ns , 0x8c , x00 , 0x00000001
7420ns , 0xb0 , x00 , 0x00000800
7450ns , 0xb4 , x05 , 0x000000b4
7460ns , 0xb8 , x05 , 0x000000c4
7470ns , 0xbc , x00 , 0x000000c8
7500ns , 0xc0 , x10 , 0x00000000
7510ns , 0xc4 , x03 , 0x00000002
7610ns , 0x0 , x00 , 0x00000004
7680ns , 0x4 , x01 , 0x00000000
7690ns , 0x8 , x02 , 0x00000000
7700ns , 0xc , x03 , 0x00000000
7710ns , 0x10 , x04 , 0x00000000
7720ns , 0x14 , x05 , 0x00000000
7730ns , 0x18 , x06 , 0x00000000
7740ns , 0x1c , x07 , 0x00000000
7750ns , 0x20 , x08 , 0x00000000
7760ns , 0x24 , x09 , 0x00000000
7770ns , 0x28 , x10 , 0x00000000
