[2380ns] [0x258] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2390ns] [0x25C] [0x00F00793] | li a5,15 | x15 = 15 , 0xf

[2400ns] [0x260] [0x00F71663] | bne a4,a5,26c <function+0x13c> | x0 = 1 , 0x1

[2490ns] [0x26C] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2500ns] [0x270] [0x01000793] | li a5,16 | x15 = 16 , 0x10

[2510ns] [0x274] [0x00F71663] | bne a4,a5,280 <function+0x150> | x0 = 1 , 0x1

[2600ns] [0x280] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2610ns] [0x284] [0x01100793] | li a5,17 | x15 = 17 , 0x11

[2620ns] [0x288] [0x00F71663] | bne a4,a5,294 <function+0x164> | x0 = 1 , 0x1

[2710ns] [0x294] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2720ns] [0x298] [0x01200793] | li a5,18 | x15 = 18 , 0x12

[2730ns] [0x29C] [0x00F71663] | bne a4,a5,2a8 <function+0x178> | x0 = 1 , 0x1

[2820ns] [0x2A8] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2830ns] [0x2AC] [0x01300793] | li a5,19 | x15 = 19 , 0x13

[2840ns] [0x2B0] [0x00F71663] | bne a4,a5,2bc <function+0x18c> | x0 = 1 , 0x1

[2930ns] [0x2BC] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2940ns] [0x2C0] [0x01400793] | li a5,20 | x15 = 20 , 0x14

[2950ns] [0x2C4] [0x00F71663] | bne a4,a5,2d0 <function+0x1a0> | x0 = 1 , 0x1

[3040ns] [0x2D0] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[3050ns] [0x2D4] [0x01500793] | li a5,21 | x15 = 21 , 0x15

[3060ns] [0x2D8] [0x00F71663] | bne a4,a5,2e4 <function+0x1b4> | x0 = 1 , 0x1

[3150ns] [0x2E4] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[3160ns] [0x2E8] [0x01600793] | li a5,22 | x15 = 22 , 0x16

[3170ns] [0x2EC] [0x00F71663] | bne a4,a5,2f8 <function+0x1c8> | x0 = 1 , 0x1

[3260ns] [0x2F8] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[3270ns] [0x2FC] [0x01700793] | li a5,23 | x15 = 23 , 0x17

[3280ns] [0x300] [0x00F71663] | bne a4,a5,30c <function+0x1dc> | x0 = 1 , 0x1

[3370ns] [0x30C] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[3380ns] [0x310] [0x01800793] | li a5,24 | x15 = 24 , 0x18

[3390ns] [0x314] [0x00F71663] | bne a4,a5,320 <function+0x1f0> | x0 = 1 , 0x1

[3480ns] [0x320] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[3490ns] [0x324] [0x01900793] | li a5,25 | x15 = 25 , 0x19

[3500ns] [0x328] [0x00F71663] | bne a4,a5,334 <function+0x204> | x0 = 1 , 0x1

[3590ns] [0x334] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[3600ns] [0x338] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[3610ns] [0x33C] [0x00F71663] | bne a4,a5,348 <function+0x218> | x0 = 1 , 0x1

[3660ns] [0x348] [0x03000793] | li a5,48 | x15 = 48 , 0x30

[3670ns] [0x34C] [0x00078513] | mv a0,a5 | x10 = 48 , 0x30

[3720ns] [0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 0x800

[3730ns] [0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 0x640

[3740ns] [0x358] [0x00008067] | ret  | x0 = 860 , 0x35c

[3780ns] [0x38] [0x00050793] | mv a5,a0 | x15 = 48 , 0x30

[3790ns] [0x3C] [0x00078713] | mv a4,a5 | x14 = 48 , 0x30

[3820ns] [0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 0 , 0x0

[3840ns] [0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 48 , 0x30

[3850ns] [0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[3890ns] [0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 0 , 0x0

[3910ns] [0x50] [0x00178793] | add a5,a5,1 | x15 = 1 , 0x1

[3920ns] [0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 0x0

[3950ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 1 , 0x1

[3960ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[3970ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[4060ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 1 , 0x1

[4080ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[4090ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[4100ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[4120ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[4130ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[4140ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 1 , 0x1

[4150ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[4160ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 0 , 0x0

[4170ns] [0x14C] [0x04100793] | li a5,65 | x15 = 65 , 0x41

[4180ns] [0x150] [0x1FC0006F] | j 34c <function+0x21c> | x0 = 340 , 0x154

[4250ns] [0x34C] [0x00078513] | mv a0,a5 | x10 = 65 , 0x41

[4300ns] [0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 0x800

[4310ns] [0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 0x640

[4320ns] [0x358] [0x00008067] | ret  | x0 = 860 , 0x35c

[4330ns] [0x38] [0x00050793] | mv a5,a0 | x15 = 65 , 0x41

[4340ns] [0x3C] [0x00078713] | mv a4,a5 | x14 = 65 , 0x41

[4350ns] [0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 48 , 0x30

[4360ns] [0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 113 , 0x71

[4370ns] [0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[4410ns] [0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 1 , 0x1

[4430ns] [0x50] [0x00178793] | add a5,a5,1 | x15 = 2 , 0x2

[4440ns] [0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 0x0

[4470ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 2 , 0x2

[4480ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[4490ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[4600ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 2 , 0x2

[4610ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[4620ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[4630ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[4640ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[4650ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[4660ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 2 , 0x2

[4670ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[4680ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 0x1

[4770ns] [0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 2 , 0x2

[4790ns] [0x158] [0x00200793] | li a5,2 | x15 = 2 , 0x2

[4800ns] [0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 0 , 0x0

[4810ns] [0x160] [0x04200793] | li a5,66 | x15 = 66 , 0x42

[4820ns] [0x164] [0x1E80006F] | j 34c <function+0x21c> | x0 = 360 , 0x168

[4880ns] [0x34C] [0x00078513] | mv a0,a5 | x10 = 66 , 0x42

[4930ns] [0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 0x800

[4940ns] [0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 0x640

[4950ns] [0x358] [0x00008067] | ret  | x0 = 860 , 0x35c

[4960ns] [0x38] [0x00050793] | mv a5,a0 | x15 = 66 , 0x42

[4970ns] [0x3C] [0x00078713] | mv a4,a5 | x14 = 66 , 0x42

[4980ns] [0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 113 , 0x71

[4990ns] [0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 179 , 0xb3

[5000ns] [0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[5040ns] [0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 2 , 0x2

[5060ns] [0x50] [0x00178793] | add a5,a5,1 | x15 = 3 , 0x3

[5070ns] [0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 0x0

[5100ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 3 , 0x3

[5110ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[5120ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[5230ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 3 , 0x3

[5240ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[5250ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[5260ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[5270ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[5280ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[5290ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 3 , 0x3

[5300ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[5310ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 0x1

[5400ns] [0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 3 , 0x3

[5420ns] [0x158] [0x00200793] | li a5,2 | x15 = 2 , 0x2

[5430ns] [0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 0x1

[5530ns] [0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 3 , 0x3

[5540ns] [0x16C] [0x00300793] | li a5,3 | x15 = 3 , 0x3

[5550ns] [0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 0 , 0x0

[5560ns] [0x174] [0x04300793] | li a5,67 | x15 = 67 , 0x43

[5570ns] [0x178] [0x1D40006F] | j 34c <function+0x21c> | x0 = 380 , 0x17c

[5620ns] [0x34C] [0x00078513] | mv a0,a5 | x10 = 67 , 0x43

[5670ns] [0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 0x800

[5680ns] [0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 0x640

[5690ns] [0x358] [0x00008067] | ret  | x0 = 860 , 0x35c

[5700ns] [0x38] [0x00050793] | mv a5,a0 | x15 = 67 , 0x43

[5710ns] [0x3C] [0x00078713] | mv a4,a5 | x14 = 67 , 0x43

[5720ns] [0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 179 , 0xb3

[5730ns] [0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 246 , 0xf6

[5740ns] [0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[5780ns] [0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 3 , 0x3

[5800ns] [0x50] [0x00178793] | add a5,a5,1 | x15 = 4 , 0x4

[5810ns] [0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 0x0

[5840ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 4 , 0x4

[5850ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[5860ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[5910ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 4 , 0x4

[5920ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[5930ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[5940ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[5950ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[5960ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[5970ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 0x4

[5980ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[5990ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 0x1

[6080ns] [0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 0x4

[6100ns] [0x158] [0x00200793] | li a5,2 | x15 = 2 , 0x2

[6110ns] [0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 0x1

[6210ns] [0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 0x4

[6220ns] [0x16C] [0x00300793] | li a5,3 | x15 = 3 , 0x3

[6230ns] [0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 0x1

[6320ns] [0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 0x4

[6330ns] [0x180] [0x00400793] | li a5,4 | x15 = 4 , 0x4

[6340ns] [0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 0 , 0x0

[6350ns] [0x188] [0x04400793] | li a5,68 | x15 = 68 , 0x44

[6360ns] [0x18C] [0x1C00006F] | j 34c <function+0x21c> | x0 = 400 , 0x190

[6410ns] [0x34C] [0x00078513] | mv a0,a5 | x10 = 68 , 0x44

[6460ns] [0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 0x800

[6470ns] [0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 0x640

[6480ns] [0x358] [0x00008067] | ret  | x0 = 860 , 0x35c

[6490ns] [0x38] [0x00050793] | mv a5,a0 | x15 = 68 , 0x44

[6500ns] [0x3C] [0x00078713] | mv a4,a5 | x14 = 68 , 0x44

[6510ns] [0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 246 , 0xf6

[6520ns] [0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 314 , 0x13a

[6530ns] [0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[6570ns] [0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 4 , 0x4

[6590ns] [0x50] [0x00178793] | add a5,a5,1 | x15 = 5 , 0x5

[6600ns] [0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 0x0

[6630ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 5 , 0x5

[6640ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[6650ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[6700ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 5 , 0x5

[6710ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[6720ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[6730ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[6740ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[6750ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[6760ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 0x5

[6770ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[6780ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 0x1

[6870ns] [0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 0x5

[6890ns] [0x158] [0x00200793] | li a5,2 | x15 = 2 , 0x2

[6900ns] [0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 0x1

[6940ns] [0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 0x5

[6950ns] [0x16C] [0x00300793] | li a5,3 | x15 = 3 , 0x3

[6960ns] [0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 0x1

[7050ns] [0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 0x5

[7060ns] [0x180] [0x00400793] | li a5,4 | x15 = 4 , 0x4

[7070ns] [0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 0x1

[7160ns] [0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 0x5

[7170ns] [0x194] [0x00500793] | li a5,5 | x15 = 5 , 0x5

[7180ns] [0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 0 , 0x0

[7190ns] [0x19C] [0x04500793] | li a5,69 | x15 = 69 , 0x45

[7200ns] [0x1A0] [0x1AC0006F] | j 34c <function+0x21c> | x0 = 420 , 0x1a4

[7250ns] [0x34C] [0x00078513] | mv a0,a5 | x10 = 69 , 0x45

[7300ns] [0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 0x800

[7310ns] [0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 0x640

[7320ns] [0x358] [0x00008067] | ret  | x0 = 860 , 0x35c

[7330ns] [0x38] [0x00050793] | mv a5,a0 | x15 = 69 , 0x45

[7340ns] [0x3C] [0x00078713] | mv a4,a5 | x14 = 69 , 0x45

[7350ns] [0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 314 , 0x13a

[7360ns] [0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 383 , 0x17f

[7370ns] [0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[7410ns] [0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 5 , 0x5

[7430ns] [0x50] [0x00178793] | add a5,a5,1 | x15 = 6 , 0x6

[7440ns] [0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 0x0

[7470ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 6 , 0x6

[7480ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[7490ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[7540ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 6 , 0x6

[7550ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[7560ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[7570ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[7580ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[7590ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[7600ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 0x6

[7610ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[7620ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 0x1

[7640ns] [0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 0x6

[7650ns] [0x158] [0x00200793] | li a5,2 | x15 = 2 , 0x2

[7660ns] [0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 0x1

[7690ns] [0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 0x6

[7710ns] [0x16C] [0x00300793] | li a5,3 | x15 = 3 , 0x3

[7720ns] [0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 0x1

[7760ns] [0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 0x6

[7770ns] [0x180] [0x00400793] | li a5,4 | x15 = 4 , 0x4

[7780ns] [0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 0x1

[7870ns] [0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 0x6

[7880ns] [0x194] [0x00500793] | li a5,5 | x15 = 5 , 0x5

[7890ns] [0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 0x1

[7980ns] [0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 0x6

[7990ns] [0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 0x6

[8000ns] [0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 0 , 0x0

